init_label,warmup_mode,n_runs,mean_final_energy,preserved_near_truth
truth,legacy_warmup,18,0.000,18/18
truth,skip_warmup,18,0.000,18/18
truth,guarded_warmup,18,0.000,18/18
truth_plus_small_noise,legacy_warmup,18,111.673,16/18
truth_plus_small_noise,skip_warmup,18,0.003,18/18
truth_plus_small_noise,guarded_warmup,18,0.000,18/18
truth_plus_medium_noise,legacy_warmup,18,747.125,0/18
truth_plus_medium_noise,skip_warmup,18,6.792,1/18
truth_plus_medium_noise,guarded_warmup,18,6.018,5/18
random,legacy_warmup,18,874.986,0/18
random,skip_warmup,18,451.684,0/18
random,guarded_warmup,18,239.811,0/18
